Alternativer,Alder,Befolkning,År
Hovedalternativ (MMM),Under 20,1298781,2022.0
Hovedalternativ (MMM),Under 20,1299853,2023.0
Hovedalternativ (MMM),Under 20,1298368,2024.0
Hovedalternativ (MMM),Under 20,1292463,2025.0
Hovedalternativ (MMM),Under 20,1286329,2026.0
Hovedalternativ (MMM),Under 20,1280710,2027.0
Hovedalternativ (MMM),Under 20,1273850,2028.0
Hovedalternativ (MMM),Under 20,1267768,2029.0
Hovedalternativ (MMM),Under 20,1260272,2030.0
Hovedalternativ (MMM),Under 20,1252364,2031.0
Hovedalternativ (MMM),Under 20,1245929,2032.0
Hovedalternativ (MMM),Under 20,1241708,2033.0
Hovedalternativ (MMM),Under 20,1238505,2034.0
Hovedalternativ (MMM),Under 20,1237560,2035.0
Hovedalternativ (MMM),Under 20,1237481,2036.0
Hovedalternativ (MMM),Under 20,1238401,2037.0
Hovedalternativ (MMM),Under 20,1239378,2038.0
Hovedalternativ (MMM),Under 20,1242752,2039.0
Hovedalternativ (MMM),Under 20,1247592,2040.0
Hovedalternativ (MMM),Under 20,1252754,2041.0
Hovedalternativ (MMM),Under 20,1259088,2042.0
Hovedalternativ (MMM),Under 20,1261958,2043.0
Hovedalternativ (MMM),Under 20,1265983,2044.0
Hovedalternativ (MMM),Under 20,1269781,2045.0
Hovedalternativ (MMM),Under 20,1273093,2046.0
Hovedalternativ (MMM),Under 20,1275622,2047.0
Hovedalternativ (MMM),Under 20,1277164,2048.0
Hovedalternativ (MMM),Under 20,1277767,2049.0
Hovedalternativ (MMM),Under 20,1277477,2050.0
Hovedalternativ (MMM),Under 20,1276504,2051.0
Hovedalternativ (MMM),Under 20,1274819,2052.0
Hovedalternativ (MMM),Under 20,1272467,2053.0
Hovedalternativ (MMM),Under 20,1269481,2054.0
Hovedalternativ (MMM),Under 20,1265915,2055.0
Hovedalternativ (MMM),Under 20,1261856,2056.0
Hovedalternativ (MMM),Under 20,1257306,2057.0
