,Befolkning,Alder,Alternativ,År,Pas rate,Pasienter på somatisk
0,587714,0-9 år,Hovedalternativ (MMM),2022,0.3156671442232106,185522.0
1,647020,10-19 år,Hovedalternativ (MMM),2022,0.25080832122654634,162278.0
2,1450705,20-39 år,Hovedalternativ (MMM),2022,0.31545352087433354,457630.00000000006
3,1439092,40-59 år,Hovedalternativ (MMM),2022,0.3517648628440711,506221.99999999994
4,596118,60-69 år,Hovedalternativ (MMM),2022,0.4600095954156727,274220.0
5,464328,70-79 år,Hovedalternativ (MMM),2022,0.5801394703743905,269375.0
6,240293,80 år eller eldre,Hovedalternativ (MMM),2022,0.686782386503144,165029.0
7,583485,0-9 år,Hovedalternativ (MMM),2023,0.3156671442232106,184187.04364708005
8,653111,10-19 år,Hovedalternativ (MMM),2023,0.25080832122654634,163805.6734845909
9,1464724,20-39 år,Hovedalternativ (MMM),2023,0.31545352087433354,462052.3429091373
10,1446671,40-59 år,Hovedalternativ (MMM),2023,0.3517648628440711,508888.0258954952
11,602573,60-69 år,Hovedalternativ (MMM),2023,0.4600095954156727,277189.36193840817
12,476286,70-79 år,Hovedalternativ (MMM),2023,0.5801394703743905,276312.307786737
13,248140,80 år eller eldre,Hovedalternativ (MMM),2023,0.686782386503144,170418.18138689015
14,579244,0-9 år,Hovedalternativ (MMM),2024,0.3156671442232106,182848.2992884294
15,654514,10-19 år,Hovedalternativ (MMM),2024,0.25080832122654634,164157.55755927175
16,1472337,20-39 år,Hovedalternativ (MMM),2024,0.31545352087433354,464453.8905635536
17,1450939,40-59 år,Hovedalternativ (MMM),2024,0.3517648628440711,510389.3583301137
18,609780,60-69 år,Hovedalternativ (MMM),2024,0.4600095954156727,280504.6510925689
19,486140,70-79 år,Hovedalternativ (MMM),2024,0.5801394703743905,282029.0021278062
20,258480,80 år eller eldre,Hovedalternativ (MMM),2024,0.686782386503144,177519.51126333268
21,573787,0-9 år,Hovedalternativ (MMM),2025,0.3156671442232106,181125.70368240334
22,653513,10-19 år,Hovedalternativ (MMM),2025,0.25080832122654634,163906.498429724
23,1472599,20-39 år,Hovedalternativ (MMM),2025,0.31545352087433354,464536.5393860227
24,1451407,40-59 år,Hovedalternativ (MMM),2025,0.3517648628440711,510553.9842859247
25,619023,60-69 år,Hovedalternativ (MMM),2025,0.4600095954156727,284756.519782996
26,492151,70-79 år,Hovedalternativ (MMM),2025,0.5801394703743905,285516.22048422665
27,272910,80 år eller eldre,Hovedalternativ (MMM),2025,0.686782386503144,187429.78110057305
28,568998,0-9 år,Hovedalternativ (MMM),2026,0.3156671442232106,179613.9737287184
29,652105,10-19 år,Hovedalternativ (MMM),2026,0.25080832122654634,163553.360313437
30,1472194,20-39 år,Hovedalternativ (MMM),2026,0.31545352087433354,464408.7807100686
31,1451933,40-59 år,Hovedalternativ (MMM),2026,0.3517648628440711,510739.01260378066
32,628440,60-69 år,Hovedalternativ (MMM),2026,0.4600095954156727,289088.43014302535
33,497721,70-79 år,Hovedalternativ (MMM),2026,0.5801394703743905,288747.59733421204
34,288422,80 år eller eldre,Hovedalternativ (MMM),2026,0.686782386503144,198083.1494800098
35,564888,0-9 år,Hovedalternativ (MMM),2027,0.3156671442232106,178316.58176596102
36,648807,10-19 år,Hovedalternativ (MMM),2027,0.25080832122654634,162726.19447003186
37,1472624,20-39 år,Hovedalternativ (MMM),2027,0.31545352087433354,464544.42572404456
38,1452773,40-59 år,Hovedalternativ (MMM),2027,0.3517648628440711,511034.4950885697
39,637574,60-69 år,Hovedalternativ (MMM),2027,0.4600095954156727,293290.1577875521
40,499694,70-79 år,Hovedalternativ (MMM),2027,0.5801394703743905,289892.2125092607
41,308418,80 år eller eldre,Hovedalternativ (MMM),2027,0.686782386503144,211816.05008052668
42,563848,0-9 år,Hovedalternativ (MMM),2028,0.3156671442232106,177988.28793596887
43,643257,10-19 år,Hovedalternativ (MMM),2028,0.25080832122654634,161334.20828722452
44,1472341,20-39 år,Hovedalternativ (MMM),2028,0.31545352087433354,464455.1523776371
45,1453914,40-59 år,Hovedalternativ (MMM),2028,0.3517648628440711,511435.8587970748
46,647842,60-69 år,Hovedalternativ (MMM),2028,0.4600095954156727,298013.53631328023
47,502665,70-79 år,Hovedalternativ (MMM),2028,0.5801394703743905,291615.80687574303
48,326168,80 år eller eldre,Hovedalternativ (MMM),2028,0.686782386503144,224006.4374409575
49,564941,0-9 år,Hovedalternativ (MMM),2029,0.3156671442232106,178333.31212460482
50,634320,10-19 år,Hovedalternativ (MMM),2029,0.25080832122654634,159092.73432042287
51,1471032,20-39 år,Hovedalternativ (MMM),2029,0.31545352087433354,464042.22371881263
52,1456213,40-59 år,Hovedalternativ (MMM),2029,0.3517648628440711,512244.56621675333
53,658824,60-69 år,Hovedalternativ (MMM),2029,0.4600095954156727,303065.36169013515
54,507958,70-79 år,Hovedalternativ (MMM),2029,0.5801394703743905,294686.4850924347
55,342210,80 år eller eldre,Hovedalternativ (MMM),2029,0.686782386503144,235023.80048524094
56,566886,0-9 år,Hovedalternativ (MMM),2030,0.3156671442232106,178947.28472011897
57,624008,10-19 år,Hovedalternativ (MMM),2030,0.25080832122654634,156506.39891193472
58,1469793,20-39 år,Hovedalternativ (MMM),2030,0.31545352087433354,463651.3768064493
59,1458730,40-59 år,Hovedalternativ (MMM),2030,0.3517648628440711,513129.95837653184
60,669996,60-69 år,Hovedalternativ (MMM),2030,0.4600095954156727,308204.58889011905
61,514415,70-79 år,Hovedalternativ (MMM),2030,0.5801394703743905,298432.4456526421
