Alternativ,År,Befolkning
Hovedalternativ (MMM),2022,5425270
Hovedalternativ (MMM),2023,5474990
Hovedalternativ (MMM),2024,5511434
Hovedalternativ (MMM),2025,5535390
Hovedalternativ (MMM),2026,5559813
Hovedalternativ (MMM),2027,5584778
Hovedalternativ (MMM),2028,5610035
Hovedalternativ (MMM),2029,5635498
Hovedalternativ (MMM),2030,5660704
Hovedalternativ (MMM),2031,5685526
Hovedalternativ (MMM),2032,5709850
Hovedalternativ (MMM),2033,5733853
Hovedalternativ (MMM),2034,5757504
Hovedalternativ (MMM),2035,5780690
Hovedalternativ (MMM),2036,5803479
Hovedalternativ (MMM),2037,5825928
Hovedalternativ (MMM),2038,5847408
Hovedalternativ (MMM),2039,5867934
Hovedalternativ (MMM),2040,5887567
Hovedalternativ (MMM),2041,5906312
Hovedalternativ (MMM),2042,5924166
Hovedalternativ (MMM),2043,5941143
Hovedalternativ (MMM),2044,5957200
Hovedalternativ (MMM),2045,5972322
Hovedalternativ (MMM),2046,5986492
Hovedalternativ (MMM),2047,5999703
Hovedalternativ (MMM),2048,6011945
Hovedalternativ (MMM),2049,6023260
Hovedalternativ (MMM),2050,6033631
Hovedalternativ (MMM),2051,6043155
Hovedalternativ (MMM),2052,6051876
Hovedalternativ (MMM),2053,6059886
Hovedalternativ (MMM),2054,6067235
Hovedalternativ (MMM),2055,6074002
Hovedalternativ (MMM),2056,6080222
Hovedalternativ (MMM),2057,6086000
Hovedalternativ (MMM),2058,6091372
Hovedalternativ (MMM),2059,6096426
Hovedalternativ (MMM),2060,6101191
Hovedalternativ (MMM),2061,6105766
Hovedalternativ (MMM),2062,6110198
Hovedalternativ (MMM),2063,6114578
Hovedalternativ (MMM),2064,6118988
Hovedalternativ (MMM),2065,6123483
Hovedalternativ (MMM),2066,6128107
Hovedalternativ (MMM),2067,6132917
Hovedalternativ (MMM),2068,6137935
Hovedalternativ (MMM),2069,6143189
Hovedalternativ (MMM),2070,6148644
Hovedalternativ (MMM),2071,6154259
Hovedalternativ (MMM),2072,6159984
Hovedalternativ (MMM),2073,6165699
Hovedalternativ (MMM),2074,6171321
Hovedalternativ (MMM),2075,6176754
Hovedalternativ (MMM),2076,6181867
Hovedalternativ (MMM),2077,6186566
Hovedalternativ (MMM),2078,6190764
Hovedalternativ (MMM),2079,6194395
Hovedalternativ (MMM),2080,6197383
Hovedalternativ (MMM),2081,6199711
Hovedalternativ (MMM),2082,6201382
Hovedalternativ (MMM),2083,6202404
Hovedalternativ (MMM),2084,6202824
Hovedalternativ (MMM),2085,6202707
Hovedalternativ (MMM),2086,6202107
Hovedalternativ (MMM),2087,6201158
Hovedalternativ (MMM),2088,6199967
Hovedalternativ (MMM),2089,6198627
Hovedalternativ (MMM),2090,6197263
Hovedalternativ (MMM),2091,6195962
Hovedalternativ (MMM),2092,6194828
Hovedalternativ (MMM),2093,6193935
Hovedalternativ (MMM),2094,6193308
Hovedalternativ (MMM),2095,6192960
Hovedalternativ (MMM),2096,6192920
Hovedalternativ (MMM),2097,6193171
Hovedalternativ (MMM),2098,6193692
Hovedalternativ (MMM),2099,6194428
Hovedalternativ (MMM),2100,6195332
