Befolkning,Alder,Alternativ,År
587714,0-9 år,Hovedalternativ (MMM),2022
647020,10-19 år,Hovedalternativ (MMM),2022
1450705,20-39 år,Hovedalternativ (MMM),2022
1439092,40-59 år,Hovedalternativ (MMM),2022
596118,60-69 år,Hovedalternativ (MMM),2022
464328,70-79 år,Hovedalternativ (MMM),2022
240293,80 år eller eldre,Hovedalternativ (MMM),2022
583485,0-9 år,Hovedalternativ (MMM),2023
653111,10-19 år,Hovedalternativ (MMM),2023
1464724,20-39 år,Hovedalternativ (MMM),2023
1446671,40-59 år,Hovedalternativ (MMM),2023
602573,60-69 år,Hovedalternativ (MMM),2023
476286,70-79 år,Hovedalternativ (MMM),2023
248140,80 år eller eldre,Hovedalternativ (MMM),2023
579244,0-9 år,Hovedalternativ (MMM),2024
654514,10-19 år,Hovedalternativ (MMM),2024
1472337,20-39 år,Hovedalternativ (MMM),2024
1450939,40-59 år,Hovedalternativ (MMM),2024
609780,60-69 år,Hovedalternativ (MMM),2024
486140,70-79 år,Hovedalternativ (MMM),2024
258480,80 år eller eldre,Hovedalternativ (MMM),2024
573787,0-9 år,Hovedalternativ (MMM),2025
653513,10-19 år,Hovedalternativ (MMM),2025
1472599,20-39 år,Hovedalternativ (MMM),2025
1451407,40-59 år,Hovedalternativ (MMM),2025
619023,60-69 år,Hovedalternativ (MMM),2025
492151,70-79 år,Hovedalternativ (MMM),2025
272910,80 år eller eldre,Hovedalternativ (MMM),2025
568998,0-9 år,Hovedalternativ (MMM),2026
652105,10-19 år,Hovedalternativ (MMM),2026
1472194,20-39 år,Hovedalternativ (MMM),2026
1451933,40-59 år,Hovedalternativ (MMM),2026
628440,60-69 år,Hovedalternativ (MMM),2026
497721,70-79 år,Hovedalternativ (MMM),2026
288422,80 år eller eldre,Hovedalternativ (MMM),2026
564888,0-9 år,Hovedalternativ (MMM),2027
648807,10-19 år,Hovedalternativ (MMM),2027
1472624,20-39 år,Hovedalternativ (MMM),2027
1452773,40-59 år,Hovedalternativ (MMM),2027
637574,60-69 år,Hovedalternativ (MMM),2027
499694,70-79 år,Hovedalternativ (MMM),2027
308418,80 år eller eldre,Hovedalternativ (MMM),2027
563848,0-9 år,Hovedalternativ (MMM),2028
643257,10-19 år,Hovedalternativ (MMM),2028
1472341,20-39 år,Hovedalternativ (MMM),2028
1453914,40-59 år,Hovedalternativ (MMM),2028
647842,60-69 år,Hovedalternativ (MMM),2028
502665,70-79 år,Hovedalternativ (MMM),2028
326168,80 år eller eldre,Hovedalternativ (MMM),2028
564941,0-9 år,Hovedalternativ (MMM),2029
634320,10-19 år,Hovedalternativ (MMM),2029
1471032,20-39 år,Hovedalternativ (MMM),2029
1456213,40-59 år,Hovedalternativ (MMM),2029
658824,60-69 år,Hovedalternativ (MMM),2029
507958,70-79 år,Hovedalternativ (MMM),2029
342210,80 år eller eldre,Hovedalternativ (MMM),2029
566886,0-9 år,Hovedalternativ (MMM),2030
624008,10-19 år,Hovedalternativ (MMM),2030
1469793,20-39 år,Hovedalternativ (MMM),2030
1458730,40-59 år,Hovedalternativ (MMM),2030
669996,60-69 år,Hovedalternativ (MMM),2030
514415,70-79 år,Hovedalternativ (MMM),2030
356876,80 år eller eldre,Hovedalternativ (MMM),2030
570741,0-9 år,Hovedalternativ (MMM),2031
613238,10-19 år,Hovedalternativ (MMM),2031
1466166,20-39 år,Hovedalternativ (MMM),2031
1464048,40-59 år,Hovedalternativ (MMM),2031
679727,60-69 år,Hovedalternativ (MMM),2031
520893,70-79 år,Hovedalternativ (MMM),2031
370713,80 år eller eldre,Hovedalternativ (MMM),2031
571832,0-9 år,Hovedalternativ (MMM),2032
607376,10-19 år,Hovedalternativ (MMM),2032
1461440,20-39 år,Hovedalternativ (MMM),2032
