År,Alternativer,Over20under66,Over66,Underholdskvote
2022.0,Hovedalternativ (MMM),3319573,870963,3.811382343452018
2023.0,Hovedalternativ (MMM),3345340,893054,3.7459548918654417
2024.0,Hovedalternativ (MMM),3361376,916300,3.6684230055658626
2025.0,Hovedalternativ (MMM),3369622,938468,3.5905560978104742
2026.0,Hovedalternativ (MMM),3377186,961524,3.5123262653870313
2027.0,Hovedalternativ (MMM),3386499,984584,3.439522681660478
2028.0,Hovedalternativ (MMM),3395915,1007015,3.3722586058797535
2029.0,Hovedalternativ (MMM),3406768,1029469,3.309247777252156
2030.0,Hovedalternativ (MMM),3417661,1052149,3.2482671180602747
2031.0,Hovedalternativ (MMM),3425966,1075581,3.185223614028139
2032.0,Hovedalternativ (MMM),3429804,1100838,3.1156300927111893
2033.0,Hovedalternativ (MMM),3431996,1126385,3.046912023863954
2034.0,Hovedalternativ (MMM),3431347,1152121,2.9782870028408475
2035.0,Hovedalternativ (MMM),3429925,1177394,2.913149718785725
2036.0,Hovedalternativ (MMM),3426175,1203640,2.8465114153733673
2037.0,Hovedalternativ (MMM),3421565,1229656,2.782538368454267
2038.0,Hovedalternativ (MMM),3415898,1253344,2.725427336788623
2039.0,Hovedalternativ (MMM),3407799,1277015,2.6685661484007626
2040.0,Hovedalternativ (MMM),3399272,1299851,2.615124348867678
2041.0,Hovedalternativ (MMM),3391577,1319716,2.569929439364227
2042.0,Hovedalternativ (MMM),3387221,1338762,2.5301143892641114
2043.0,Hovedalternativ (MMM),3384014,1354562,2.4982348537756116
2044.0,Hovedalternativ (MMM),3382394,1368002,2.4725066191423695
2045.0,Hovedalternativ (MMM),3382214,1379526,2.451721823292928
2046.0,Hovedalternativ (MMM),3380677,1392204,2.428291399823589
2047.0,Hovedalternativ (MMM),3379212,1404840,2.405407021440164
2048.0,Hovedalternativ (MMM),3377190,1418031,2.381605197629671
2049.0,Hovedalternativ (MMM),3376178,1430190,2.3606499835686168
2050.0,Hovedalternativ (MMM),3374024,1443308,2.337702001236049
